answer_llm,answer_orig,document,question,case_prompt,cosine
"{
   ""case_prompt"": ""A 70-year-old male presents with dizziness and lightheadedness upon standing, which has occurred intermittently over the past month.""
}","A 65-year-old male presents to the clinic with complaints of dizziness and lightheadedness when standing up, which has been occurring for the past two weeks.",423e4a2a,Postural hypotension and its causes,"A 65-year-old male presents to the clinic with complaints of dizziness and lightheadedness when standing up, which has been occurring for the past two weeks.",0.8537069454824375
"{
   ""case_prompt"": ""A 42-year-old female presents with increasing fatigue, weight loss, and darkening of the skin over the past two months.""
}","A 45-year-old woman presents to the clinic with complaints of fatigue, weight loss, and increased pigmentation of her skin over the past few months.",628e02d4,"Addison's disease and its effects, focusing on symptoms and examination findings","A 45-year-old woman presents to the clinic with complaints of fatigue, weight loss, and increased pigmentation of her skin over the past few months.",0.8497967450892152
"{
   ""case_prompt"": ""A 62-year-old male presents with yellowish deposits around his eyelids and blurred vision for the past month.""
}",A 62-year-old male presents to the clinic with complaints of yellow patches around his eyelids that have developed over the past few months. He is concerned as they have become more noticeable recently.,504fc6db,"cardiovascular disease, specifically relating to xanthelasmata or arcus senilis",A 62-year-old male presents to the clinic with complaints of yellow patches around his eyelids that have developed over the past few months. He is concerned as they have become more noticeable recently.,0.8538138786630958
"{
   ""case_prompt"": ""A 58-year-old male presents with yellowing of the skin and eyes along with the development of yellow patches around the eyelids over the past few months.""
}",A 65-year-old male presents to the clinic with complaints of yellowing of the skin and eyes that has developed over the past week.,e0dd0b2d,Cardiovascular examination with a focus on jaundice and xanthelasmata,A 65-year-old male presents to the clinic with complaints of yellowing of the skin and eyes that has developed over the past week.,0.8636437201018465
"{
   ""case_prompt"": ""A 25-year-old male with a known history of Marfan's syndrome presents with increasing fatigue, night sweats, and a recent dental procedure complaining of fever and a sore throat for the past week.""
}",A 25-year-old male presents to the clinic with complaints of palpitations and shortness of breath on exertion for the past week.,e334a65f,"Evaluation of cardiovascular signs, particularly in relation to Marfan's syndrome and potential infective endocarditis",A 25-year-old male presents to the clinic with complaints of palpitations and shortness of breath on exertion for the past week.,0.8002364780047335
"{
   ""case_prompt"": ""A 68-year-old male presents with intermittent dizziness and a sensation of palpitations over the past week.""
}",A 55-year-old male presents to the clinic complaining of intermittent dizziness and a sensation of palpitations over the past week.,e178b448,"Cardiovascular examination, specifically related to pulse assessment and carotid artery examination.",A 55-year-old male presents to the clinic complaining of intermittent dizziness and a sensation of palpitations over the past week.,0.8639915174715584
"{
   ""case_prompt"": ""A 67-year-old male presents with progressive exertional dyspnea and episodes of near-syncope over the past month.""
}",A 70-year-old male presents to the clinic with complaints of exertional dyspnea and intermittent chest discomfort over the past month.,34cba503,"Cardiac examination, particularly evaluating for aortic stenosis or related cardiovascular conditions.",A 70-year-old male presents to the clinic with complaints of exertional dyspnea and intermittent chest discomfort over the past month.,0.846377686338019
"{
   ""case_prompt"": ""A 60-year-old male presents with increased fatigue and swelling in his legs over the past week.""
}",A 65-year-old male presents to the clinic with complaints of persistent shortness of breath that has worsened over the past week. He has noticed swelling in his ankles and feels tired during daily activities.,048da8b8,Cardiac examination with a focus on jugular venous pressure measurement,A 65-year-old male presents to the clinic with complaints of persistent shortness of breath that has worsened over the past week. He has noticed swelling in his ankles and feels tired during daily activities.,0.8177563903860331
"{
   ""case_prompt"": ""A 68-year-old male presents with fatigue, recent weight gain, and swelling in his legs over the past month.""
}","A 63-year-old man presents to the clinic with increasing shortness of breath over the last week, especially when lying flat. He reports feeling more tired than usual and has noticed some swelling in his ankles. You are required to take a full history and perform a relevant examination.",cc621b83,Physical examination of jugular venous pressure,"A 63-year-old man presents to the clinic with increasing shortness of breath over the last week, especially when lying flat. He reports feeling more tired than usual and has noticed some swelling in his ankles. You are required to take a full history and perform a relevant examination.",0.8077481644950113
"{
   ""case_prompt"": ""A 60-year-old male presents with increasing shortness of breath and swelling of the legs over the past two weeks.""
}",A 65-year-old male presents to the clinic with shortness of breath and swelling in his legs for the past week.,6b58258e,Assessment of jugular venous pressure and its implications on cardiac function,A 65-year-old male presents to the clinic with shortness of breath and swelling in his legs for the past week.,0.8604996810929253
"{
   ""case_prompt"": ""A 62-year-old male presents with increasing shortness of breath and swelling of the legs over the past month.""
}",A 65-year-old male presents to the clinic with complaints of increasing shortness of breath and fatigue over the past week. He reports swelling in his ankles and has noticed a persistent cough when lying flat.,6994f3ea,Right ventricular failure or pericardial disease assessment,A 65-year-old male presents to the clinic with complaints of increasing shortness of breath and fatigue over the past week. He reports swelling in his ankles and has noticed a persistent cough when lying flat.,0.8403888222308289
"{
   ""case_prompt"": ""A 68-year-old male presents with increasing shortness of breath and swelling in his legs over the past month.""
}",A 68-year-old male presents to the clinic with complaints of increasing shortness of breath and swelling in his legs over the past week.,192ce880,Heart failure and examination techniques for jugular venous pressure assessment,A 68-year-old male presents to the clinic with complaints of increasing shortness of breath and swelling in his legs over the past week.,0.866363269218327
"{
   ""case_prompt"": ""A 78-year-old male presents with increasing shortness of breath and swelling of the legs over the past month.""
}",A 60-year-old male presents to the clinic with complaints of progressive shortness of breath on exertion and swelling of his legs over the past month.,7b913d0b,JVP assessment and signs of right heart failure,A 60-year-old male presents to the clinic with complaints of progressive shortness of breath on exertion and swelling of his legs over the past month.,0.86030583460399
"{
   ""case_prompt"": ""A 58-year-old male presents with increasing fatigue and shortness of breath on exertion over the past week.""
}",A 65-year-old male presents to the clinic with complaints of shortness of breath and palpitations that started yesterday while climbing stairs.,61af5535,Cardiac examination and assessment of heart sounds,A 65-year-old male presents to the clinic with complaints of shortness of breath and palpitations that started yesterday while climbing stairs.,0.8313396605923051
"{
   ""case_prompt"": ""A 65-year-old male presents with worsening shortness of breath and swelling in his ankles over the past week.""
}",A 65-year-old male patient presents to the clinic with complaints of progressive shortness of breath and swelling in his legs over the past week.,9d874c6a,Assessment of jugular venous pressure and its significance in cardiac conditions,A 65-year-old male patient presents to the clinic with complaints of progressive shortness of breath and swelling in his legs over the past week.,0.8495356259173621
"{
   ""case_prompt"": ""A 68-year-old male presents with increasing shortness of breath on exertion and swelling in his ankles for the past week.""
}","A 65-year-old woman presents to the clinic with complaints of increasing shortness of breath over the past month, particularly when lying flat and with exertion.",888e111e,Assessment of heart failure or cardiac function,"A 65-year-old woman presents to the clinic with complaints of increasing shortness of breath over the past month, particularly when lying flat and with exertion.",0.8212057054084663
"{
   ""case_prompt"": ""A 60-year-old female presents with fatigue, palpitations, and swelling in her legs for the past 2 weeks.""
}",A 65-year-old man presents to the clinic with complaints of increasing fatigue and swelling in his legs over the past month. He reports a recent exacerbation of shortness of breath when lying flat and occasional palpitations.,09cd77c0,history taking and examination of a patient with tricuspid regurgitation,A 65-year-old man presents to the clinic with complaints of increasing fatigue and swelling in his legs over the past month. He reports a recent exacerbation of shortness of breath when lying flat and occasional palpitations.,0.8444803207186129
"{
   ""case_prompt"": ""A 60-year-old male presents with increasing shortness of breath and swelling in his legs over the past month.""
}",A 58-year-old woman presents to the clinic with complaints of progressive shortness of breath and swelling in her legs over the past week. She reports feeling increasingly fatigued and mentions a sensation of fullness in her abdomen.,46e9b393,"Cardiac examination for patients with heart conditions, particularly related to elevated right atrial pressure or tricuspid valve pathology.",A 58-year-old woman presents to the clinic with complaints of progressive shortness of breath and swelling in her legs over the past week. She reports feeling increasingly fatigued and mentions a sensation of fullness in her abdomen.,0.8359167863892011
"{
   ""case_prompt"": ""A 57-year-old male presents with chest pain that started suddenly 30 minutes ago, radiating to his left arm and accompanied by shortness of breath.""
}","A 65-year-old male presents to the clinic with complaints of worsening chest discomfort over the past week, particularly during exertion.",10ed482b,Cardiovascular examination and assessment of chest pain,"A 65-year-old male presents to the clinic with complaints of worsening chest discomfort over the past week, particularly during exertion.",0.8383873848854817
"{
   ""case_prompt"": ""A 7-year-old male presents with cyanosis and difficulty breathing, especially when playing, which has been worsening over the past month.""
}",A 25-year-old male presents to the clinic with complaints of increasing shortness of breath and occasional palpitations over the past month. He has a history of skeletal abnormalities noted since childhood. Please take a full history and perform a relevant physical examination.,211a1a4b,cardiovascular examination with focus on potential congenital abnormalities and their effects on heart function,A 25-year-old male presents to the clinic with complaints of increasing shortness of breath and occasional palpitations over the past month. He has a history of skeletal abnormalities noted since childhood. Please take a full history and perform a relevant physical examination.,0.7800724470186672
"{
   ""case_prompt"": ""A 22-year-old male presents with worsening fatigue and palpitations over the last month.""
}",A 24-year-old male presents to the clinic with complaints of palpitations and occasional shortness of breath during physical activity for the past week.,a1d3ec4e,Marfan's syndrome and its cardiovascular implications,A 24-year-old male presents to the clinic with complaints of palpitations and occasional shortness of breath during physical activity for the past week.,0.8415817507274677
"{
   ""case_prompt"": ""A 65-year-old male with a history of atrial fibrillation presents with increasing fatigue and palpitations over the last week following the recent placement of a cardiac monitor.""
}",A 70-year-old male presents to the clinic with complaints of intermittent hiccups for the past week. He has a history of ischemic heart disease and has an implanted cardiac defibrillator.,83fa0d61,Presentation of a patient with a cardiac device and related complications,A 70-year-old male presents to the clinic with complaints of intermittent hiccups for the past week. He has a history of ischemic heart disease and has an implanted cardiac defibrillator.,0.8257630170323373
"{
   ""case_prompt"": ""A 62-year-old male presents with palpitations and a sensation of ‘skipping beats’ for the past week.""
}",A 60-year-old male presents to the clinic with complaints of palpitations and occasional chest tightness for the past week.,b984901c,"Cardiovascular examination, specifically related to the apex beat and potential conditions affecting it",A 60-year-old male presents to the clinic with complaints of palpitations and occasional chest tightness for the past week.,0.8433348071018193
"{
   ""case_prompt"": ""A 67-year-old male presents with palpitations and shortness of breath that started 2 hours ago while resting.""
}",A 52-year-old male presents to the clinic with complaints of palpitations and a sensation of a pounding heart for the past week.,e2d1f683,Cardiac examination and assessment of heart conditions,A 52-year-old male presents to the clinic with complaints of palpitations and a sensation of a pounding heart for the past week.,0.8286592650785143
"{
   ""case_prompt"": ""A 60-year-old male presents with chest pain that started 1 hour ago and is associated with a feeling of palpitations.""
}",A 65-year-old male presents to the clinic with complaints of intermittent chest discomfort and palpitations for the past week.,62d2ee61,Evaluation of chest pain and abnormal apex beat,A 65-year-old male presents to the clinic with complaints of intermittent chest discomfort and palpitations for the past week.,0.8501632929455067
"{
   ""case_prompt"": ""A 22-year-old male presents with chest tightness and palpitations experienced over the last week, particularly worsening during exercise.""
}","A 25-year-old male presents to the clinic with complaints of palpitations and occasional shortness of breath, particularly during physical activities. He mentions that the symptoms have been worsening over the past month.",ca7cc169,hypertrophic cardiomyopathy and apex beat examination,"A 25-year-old male presents to the clinic with complaints of palpitations and occasional shortness of breath, particularly during physical activities. He mentions that the symptoms have been worsening over the past month.",0.8525858629860454
"{
   ""case_prompt"": ""A 60-year-old male presents with progressive dyspnea and persistent non-productive cough for the past two months.""
}",A 56-year-old male presents to the clinic with complaints of persistent shortness of breath and a dry cough that has worsened over the past month.,625bc38e,interstitial lung disease (ILD),A 56-year-old male presents to the clinic with complaints of persistent shortness of breath and a dry cough that has worsened over the past month.,0.8504349633834298
"{
   ""case_prompt"": ""A 62-year-old female presents with swelling and pain in her right knee for the past 4 weeks, associated with morning stiffness lasting over an hour.""
}",A 65-year-old woman presents to the clinic with complaints of persistent pain and morning stiffness in her joints for the past month.,fbbebacc,examination of joint pain and associated symptoms,A 65-year-old woman presents to the clinic with complaints of persistent pain and morning stiffness in her joints for the past month.,0.8463671594928377
"{
   ""case_prompt"": ""A 52-year-old female presents with persistent dryness in both eyes and a gritty sensation for the past month.""
}","A 45-year-old female presents to the clinic with complaints of persistent dry eyes, redness, and a gritty sensation in her eyes for the past month.",75727fa9,Keratoconjunctivitis sicca,"A 45-year-old female presents to the clinic with complaints of persistent dry eyes, redness, and a gritty sensation in her eyes for the past month.",0.8650294740373757
"{
   ""case_prompt"": ""A 30-year-old male presents with brittle nails and a change in nail shape, noticing that the nails have become spoon-shaped over the past few months.""
}",A 32-year-old female presents to the clinic with complaints of brittle nails that have become spoon-shaped over the past two months.,765490c6,Koilonychia and its causes,A 32-year-old female presents to the clinic with complaints of brittle nails that have become spoon-shaped over the past two months.,0.8653598787500651
"{
   ""case_prompt"": ""A 68-year-old male presents with increasing shortness of breath on exertion and fatigue over the past month.""
}",A 65-year-old male presents to the clinic with complaints of increasing shortness of breath and swelling in his legs over the past month.,f7ed72c9,left ventricular failure examination,A 65-year-old male presents to the clinic with complaints of increasing shortness of breath and swelling in his legs over the past month.,0.8262721432319855
"{
   ""case_prompt"": ""A 58-year-old female presents with a pruritic rash and white patches on her lower abdomen that have been present for several weeks.""
}",A 45-year-old female presents to the clinic with multiple itchy lesions on her lower legs that have been persistent for the past 2 months.,20e1fac7,Dermatological examination for skin lesions,A 45-year-old female presents to the clinic with multiple itchy lesions on her lower legs that have been persistent for the past 2 months.,0.8200977724443798
"{
   ""case_prompt"": ""A 60-year-old male presents with progressive weakness in both lower limbs over the past month, accompanied by muscle cramps and occasional fasciculations.""
}","A 72-year-old man presents to the clinic with complaints of progressive weakness in both of his lower limbs over the past two months, making it difficult for him to walk and climb stairs.",fbcabd3d,Neurological examination focusing on lower motor neuron lesions,"A 72-year-old man presents to the clinic with complaints of progressive weakness in both of his lower limbs over the past two months, making it difficult for him to walk and climb stairs.",0.8439354511929236
"{
   ""case_prompt"": ""A 68-year-old male presents with bilateral lower limb weakness and intermittent claudication over the past six months.""
}","A 65-year-old man presents to the clinic with complaints of worsening lower back pain and numbness in both legs when walking, which improves with rest.",75a47438,lumbar spinal stenosis and its examination,"A 65-year-old man presents to the clinic with complaints of worsening lower back pain and numbness in both legs when walking, which improves with rest.",0.8205946347119095
"{
  ""case_prompt"": ""A 60-year-old male presents with marked fatigue and cervical lymphadenopathy for the past month.""
}",A 35-year-old female presents to the clinic with swelling in her neck and armpits that has been progressing over the past two weeks.,5d2a46eb,lymphadenopathy,A 35-year-old female presents to the clinic with swelling in her neck and armpits that has been progressing over the past two weeks.,0.8051519649504846
"{
   ""case_prompt"": ""A 28-year-old female presents with low mood, loss of interest in activities, and changes in sleep and appetite over the past two months.""
}",A 32-year-old female presents to the clinic with complaints of persistent sadness and lack of interest in activities she once enjoyed for the past two months.,2ba56a70,Major depressive disorder,A 32-year-old female presents to the clinic with complaints of persistent sadness and lack of interest in activities she once enjoyed for the past two months.,0.8288669480184154
"{
   ""case_prompt"": ""A 65-year-old male presents with progressive shortness of breath and swelling of the legs for the past 2 weeks.""
}","A 65-year-old male presents to the clinic with complaints of chest pain and a 'crunching' sound when he breathes, described as intermittent over the past week.",70d62f9f,Mediastinal issues or related cardiovascular examination,"A 65-year-old male presents to the clinic with complaints of chest pain and a 'crunching' sound when he breathes, described as intermittent over the past week.",0.8081385414246345
"{
   ""case_prompt"": ""A 60-year-old male presents with worsening shortness of breath and palpitations over the past month.""
}",A 65-year-old female presents to the clinic with complaints of increasing shortness of breath and fatigue over the past two months. She reports that her symptoms worsen with exertion. Please take a full history and perform an appropriate physical examination.,b1cff6a4,mitral regurgitation examination,A 65-year-old female presents to the clinic with complaints of increasing shortness of breath and fatigue over the past two months. She reports that her symptoms worsen with exertion. Please take a full history and perform an appropriate physical examination.,0.8143484785196387
"{
   ""case_prompt"": ""A 60-year-old female presents with shortness of breath on exertion and palpitations for the past month.""
}",A 68-year-old female presents to the clinic with complaints of increasing shortness of breath and fatigue over the past month. She reports that her symptoms worsen with exertion and are sometimes associated with palpitations. Please take a full history and perform a relevant examination.,56f9c4bc,"mitral valve disease, specifically mitral stenosis or mitral regurgitation",A 68-year-old female presents to the clinic with complaints of increasing shortness of breath and fatigue over the past month. She reports that her symptoms worsen with exertion and are sometimes associated with palpitations. Please take a full history and perform a relevant examination.,0.8478687158285334
"{
   ""case_prompt"": ""A 28-year-old female presents with painful mouth ulcers, significant weight loss, and fatigue over the past month.""
}",A 28-year-old female presents to the clinic with complaints of painful ulcers in her mouth that have developed over the past week. She reports difficulty eating and drinking due to the pain and has noticed a burning sensation in her mouth.,16d10be7,Mouth ulcers and related symptoms,A 28-year-old female presents to the clinic with complaints of painful ulcers in her mouth that have developed over the past week. She reports difficulty eating and drinking due to the pain and has noticed a burning sensation in her mouth.,0.835945975173296
"{
   ""case_prompt"": ""A 60-year-old male presents with progressive muscle weakness in the arms and legs over the past month.""
}","A 45-year-old female presents to the clinic with complaints of progressive muscle weakness in her arms and legs over the past two months, resulting in difficulty climbing stairs and lifting objects.",fc7fd209,muscle weakness and neurological examination,"A 45-year-old female presents to the clinic with complaints of progressive muscle weakness in her arms and legs over the past two months, resulting in difficulty climbing stairs and lifting objects.",0.8557216530379321
"{
   ""case_prompt"": ""A 62-year-old male presents with chest pain that started suddenly 30 minutes ago and is associated with shortness of breath and diaphoresis.""
}",The patient is a 58-year-old male who presents to the clinic with complaints of chest pain that started 2 days ago. The pain is described as a pressure-like sensation and occurs most often during exertion.,224dfb63,myocardial ischemia and chest pain,The patient is a 58-year-old male who presents to the clinic with complaints of chest pain that started 2 days ago. The pain is described as a pressure-like sensation and occurs most often during exertion.,0.8401920542972501
"{
   ""case_prompt"": ""A 52-year-old male presents with a three-month history of progressive nasal obstruction and occasional epistaxis.""
}",A 55-year-old male presents to the clinic with a chief complaint of progressive nasal obstruction and increased nasal discharge over the past month. He reports occasional blood-streaked mucus and an associated decrease in his sense of smell.,83ee968b,nasopharyngeal carcinoma examination,A 55-year-old male presents to the clinic with a chief complaint of progressive nasal obstruction and increased nasal discharge over the past month. He reports occasional blood-streaked mucus and an associated decrease in his sense of smell.,0.832331546249057
"{
   ""case_prompt"": ""A 3-day-old infant presents with abnormal limb movements characterized by jerky and jittery motions.""
}","A 2-week-old neonate presents to the clinic with concerns regarding abnormal limb movements noted by the parents. They report that the baby has been exhibiting jerky, involuntary movements of the arms and legs intermittently throughout the day.",9fca0c9c,neonatal examination and assessment due to abnormal limb movements,"A 2-week-old neonate presents to the clinic with concerns regarding abnormal limb movements noted by the parents. They report that the baby has been exhibiting jerky, involuntary movements of the arms and legs intermittently throughout the day.",0.8523328166576803
