question,case_prompt,document
Marfan's syndrome and its cardiovascular implications,A 24-year-old male presents to the clinic with complaints of palpitations and occasional shortness of breath during physical activity for the past week.,a1d3ec4e
Presentation of a patient with a cardiac device and related complications,A 70-year-old male presents to the clinic with complaints of intermittent hiccups for the past week. He has a history of ischemic heart disease and has an implanted cardiac defibrillator.,83fa0d61
"Cardiovascular examination, specifically related to the apex beat and potential conditions affecting it",A 60-year-old male presents to the clinic with complaints of palpitations and occasional chest tightness for the past week.,b984901c
Cardiac examination and assessment of heart conditions,A 52-year-old male presents to the clinic with complaints of palpitations and a sensation of a pounding heart for the past week.,e2d1f683
Evaluation of chest pain and abnormal apex beat,A 65-year-old male presents to the clinic with complaints of intermittent chest discomfort and palpitations for the past week.,62d2ee61
hypertrophic cardiomyopathy and apex beat examination,"A 25-year-old male presents to the clinic with complaints of palpitations and occasional shortness of breath, particularly during physical activities. He mentions that the symptoms have been worsening over the past month.",ca7cc169
interstitial lung disease (ILD),A 56-year-old male presents to the clinic with complaints of persistent shortness of breath and a dry cough that has worsened over the past month.,625bc38e
examination of joint pain and associated symptoms,A 65-year-old woman presents to the clinic with complaints of persistent pain and morning stiffness in her joints for the past month.,fbbebacc
Keratoconjunctivitis sicca,"A 45-year-old female presents to the clinic with complaints of persistent dry eyes, redness, and a gritty sensation in her eyes for the past month.",75727fa9
Koilonychia and its causes,A 32-year-old female presents to the clinic with complaints of brittle nails that have become spoon-shaped over the past two months.,765490c6
left ventricular failure examination,A 65-year-old male presents to the clinic with complaints of increasing shortness of breath and swelling in his legs over the past month.,f7ed72c9
Dermatological examination for skin lesions,A 45-year-old female presents to the clinic with multiple itchy lesions on her lower legs that have been persistent for the past 2 months.,20e1fac7
Neurological examination focusing on lower motor neuron lesions,"A 72-year-old man presents to the clinic with complaints of progressive weakness in both of his lower limbs over the past two months, making it difficult for him to walk and climb stairs.",fbcabd3d
lumbar spinal stenosis and its examination,"A 65-year-old man presents to the clinic with complaints of worsening lower back pain and numbness in both legs when walking, which improves with rest.",75a47438
lymphadenopathy,A 35-year-old female presents to the clinic with swelling in her neck and armpits that has been progressing over the past two weeks.,5d2a46eb
Major depressive disorder,A 32-year-old female presents to the clinic with complaints of persistent sadness and lack of interest in activities she once enjoyed for the past two months.,2ba56a70
Mediastinal issues or related cardiovascular examination,"A 65-year-old male presents to the clinic with complaints of chest pain and a 'crunching' sound when he breathes, described as intermittent over the past week.",70d62f9f
mitral regurgitation examination,A 65-year-old female presents to the clinic with complaints of increasing shortness of breath and fatigue over the past two months. She reports that her symptoms worsen with exertion. Please take a full history and perform an appropriate physical examination.,b1cff6a4
"mitral valve disease, specifically mitral stenosis or mitral regurgitation",A 68-year-old female presents to the clinic with complaints of increasing shortness of breath and fatigue over the past month. She reports that her symptoms worsen with exertion and are sometimes associated with palpitations. Please take a full history and perform a relevant examination.,56f9c4bc
Mouth ulcers and related symptoms,A 28-year-old female presents to the clinic with complaints of painful ulcers in her mouth that have developed over the past week. She reports difficulty eating and drinking due to the pain and has noticed a burning sensation in her mouth.,16d10be7
muscle weakness and neurological examination,"A 45-year-old female presents to the clinic with complaints of progressive muscle weakness in her arms and legs over the past two months, resulting in difficulty climbing stairs and lifting objects.",fc7fd209
myocardial ischemia and chest pain,The patient is a 58-year-old male who presents to the clinic with complaints of chest pain that started 2 days ago. The pain is described as a pressure-like sensation and occurs most often during exertion.,224dfb63
nasopharyngeal carcinoma examination,A 55-year-old male presents to the clinic with a chief complaint of progressive nasal obstruction and increased nasal discharge over the past month. He reports occasional blood-streaked mucus and an associated decrease in his sense of smell.,83ee968b
neonatal examination and assessment due to abnormal limb movements,"A 2-week-old neonate presents to the clinic with concerns regarding abnormal limb movements noted by the parents. They report that the baby has been exhibiting jerky, involuntary movements of the arms and legs intermittently throughout the day.",9fca0c9c
Neurological examination focusing on cranial nerves,A 65-year-old male presents to the clinic with complaints of double vision and difficulty swallowing that started 2 days ago.,6bfc46c7
Neurological examination or assessment of cranial nerves,A 45-year-old male presents to the clinic with complaints of double vision (diplopia) that has been progressively worsening over the last week.,5cc9b5f7
"Neurological disorders, particularly concerning presenting symptoms or signs indicative of a neurological issue.",A 45-year-old woman presents to the clinic with complaints of persistent numbness and tingling in her left hand over the past two weeks.,2292c44b
Signs of respiratory distress and possible lung pathology,"A 45-year-old male presents to the clinic with complaints of increasing shortness of breath over the last week, particularly with exertion. He mentions a history of smoking and occasional cough. Please take a complete history and perform a relevant physical examination.",f9a9c85a
Obstructive Sleep Apnoea (OSA) and related symptoms,"A 45-year-old man presents to the clinic complaining of excessive daytime sleepiness for the past three months, which has been affecting his work performance.",2e0afdc5
Oedema and its causes,A 60-year-old woman presents to the clinic with complaints of swollen legs and feet that have developed over the past week. She reports that the swelling worsens by the end of the day and improves in the morning. Please take a detailed history and perform a relevant physical examination.,93b7cee6
otitis externa,A 28-year-old female presents to the clinic with complaints of ear pain and itching in the right ear for the past 5 days. She reports a discharge from the ear that has a foul smell. There is no history of fever or recent upper respiratory infection.,29dc2068
Osteoporosis and its examination,A 65-year-old woman presents to the clinic with complaints of progressive back pain and difficulty standing up after sitting for prolonged periods. She reports that the pain is worse with movement and has been persistent for the last few weeks.,967696fd
pediatric physical examination and developmental assessment,A 4-year-old child presents to the clinic with concerns about delayed speech development and difficulty in social interactions. The child's parents report that he has started to show limited interest in playing with other children.,79d1dd3f
"Respiratory and cardiovascular system examination, particularly related to chest pain or discomfort","A 45-year-old male presents to the clinic with complaints of chest discomfort that has been occurring intermittently for the past week. He describes the pain as a tightness in his chest, particularly after physical exertion. Please take a full history and perform a relevant physical examination.",e85168e4
Palpitations and related cardiovascular examination,A 30-year-old female presents to the clinic with complaints of palpitations that she has been experiencing intermittently for the past week.,22a14542
palpitations,A 28-year-old female presents to the clinic with complaints of palpitations that have been occurring intermittently over the past week. She reports feeling her heart racing and occasionally feels lightheaded during these episodes.,88c03c0c
neurological examination for paraparesis or paraplegia,"A 42-year-old male presents to the clinic with complaints of weakness in both legs for the past two weeks, progressively worsening, and difficulty walking.",fbec4fa2
elderly patient examination and management,A 75-year-old man presents to the clinic with complaints of increasing fatigue and unintentional weight loss over the past two months.,8c156713
pericarditis,A 40-year-old male presents to the emergency department with complaints of chest pain that worsens when lying down and improves when sitting forward. He reports the pain has been persistent for the last two days.,e8da0af1
peripheral vascular disease,"A 62-year-old man presents to the clinic with complaints of leg pain while walking, which improves upon resting. He reports this pain has been worsening over the past month and is more severe with exertion.",b4875f56
petechiae and their causes,"A 25-year-old female presents to the emergency department with multiple small red spots on her skin that have developed over the last two days. She reports that the spots are not painful and do not itch. She has also experienced mild fatigue but denies any fever, bleeding, or bruising elsewhere. Please take a full history and perform a relevant physical examination.",9bc4960d
pleural effusion,A 65-year-old male presents to the clinic with complaints of increasing shortness of breath and a persistent dry cough over the past week.,0511e05f
Pneumothorax,A 28-year-old male presents to the emergency department with sudden onset of sharp chest pain and shortness of breath that started 2 hours ago. He reports that the pain worsens with deep breaths and lying flat.,fcdc46e0
Postural hypotension and its effects on patient health,A 65-year-old male presents to the clinic with complaints of lightheadedness and near-syncope when standing up suddenly over the past month.,0912f9f5
Cardiovascular examination and symptoms of presyncope,"A 65-year-old woman presents to the clinic with complaints of feeling faint and lightheaded, especially when standing up, over the past week.",c46add23
Proximal weakness and its underlying causes,"A 45-year-old man presents to the clinic with complaints of progressive proximal muscle weakness over the past 3 months, making it difficult for him to climb stairs or lift objects above his head.",8bc78854
Evaluate a patient with pulmonary embolism,"A 65-year-old female presents to the emergency department with complaints of sudden onset shortness of breath and chest pain that worsens on deep inspiration, which started approximately 2 hours ago.",4e6805f1
dyspnoea and its potential causes,"A 45-year-old woman presents to the emergency department with complaints of worsening shortness of breath over the last week, particularly when climbing stairs. She describes the sensation as a feeling of being unable to get enough air and reports mild wheezing at times.",7c29c6a0
dizziness,A 55-year-old female presents to the clinic with complaints of dizziness that has been occurring intermittently for the past week.,890df432
Difficulty swallowing or pain in the throat,"A 45-year-old female presents to the clinic with a complaint of difficulty swallowing for the past week, accompanied by pain in her throat. She reports that the pain worsens when she swallows and is somewhat relieved by warm fluids.",fec1a289
"rash associated with autoimmune conditions, specifically lupus or Reiter's syndrome",A 28-year-old woman presents to the clinic with a rash on her face and arms that has worsened over the past two weeks. She notes that the rash is more pronounced after sun exposure.,2d7bda70
respiratory distress,"A 45-year-old man presents to the emergency department with complaints of increasing shortness of breath over the past two days, which has worsened when lying flat. He notes a dry cough and feels particularly fatigued. He has a history of asthma and a recent upper respiratory infection.",327ca25c
chronic obstructive pulmonary disease (COPD) examination and history taking,A 67-year-old male presents to the clinic with complaints of increasing shortness of breath and a productive cough with green sputum over the past two weeks.,bda84235
Respiratory failure and related symptoms,"A 60-year-old male presents to the clinic with complaints of increasing breathlessness over the past week, which has worsened with exertion.",bf8958e3
retinal diseases or retinopathy,A 65-year-old male presents to the clinic with complaints of sudden vision loss in the right eye over the past 24 hours.,819321e5
Joint examination and assessment due to pain or swelling,A 45-year-old female presents to the clinic with complaints of pain and swelling in her left knee that has persisted for the last week.,e474d35b
"Rheumatological disorders, specifically related to joint and limb pain","A 45-year-old female patient presents to the clinic with complaints of persistent limb pain and stiffness, primarily affecting her wrists and knees, that has progressively worsened over the past month.",93482d80
urinary tract infection,A 28-year-old female presents to the clinic with complaints of dysuria and urgency for the past 2 days.,e9a0c17a
Scleral icterus and its related examination,A 45-year-old male presents to the clinic with complaints of yellowing of the eyes over the past week. He reports feeling unusually fatigued and has had a decreased appetite.,cb999057
Evaluation of seizures in a young patient,"A 10-year-old child presents to the clinic with a complaint of having experienced two episodes of fainting during physical activity over the past week. The mother reports the child appeared unresponsive for a few seconds during these episodes, followed by confusion. Please take a full history and perform a relevant physical examination.",9f64d32d
skin conditions or dermatological examination,A 28-year-old female presents to the clinic with complaints of blistering eruptions on her skin that have developed over the past week. She notes that the blisters are itchy and have been causing significant discomfort.,ceeb3619
blistering skin eruptions and related dermatological conditions,A 30-year-old male presents to the clinic with complaints of blistering eruptions on his arms and trunk that have developed over the past week.,7f7e86c3
Pruritus and skin lesions,A 35-year-old female presents to the clinic with complaints of persistent itching and reddish pustular lesions on her arms and legs for the past two weeks.,a5509b33
Sleep apnea assessment and management,"A 45-year-old man presents to the clinic with complaints of loud snoring and episodes of gasping for air during sleep, reported by his partner. He also mentions feeling excessively tired during the day.",73cf36ed
soft tissue injuries,A 28-year-old male presents to the clinic with complaints of swelling and pain in his right ankle after twisting it during a basketball game two days ago.,d6feba5e
Signs and examination related to splenomegaly,A 45-year-old male presents to the clinic with a chief complaint of increasing abdominal fullness and discomfort over the past two weeks. He reports feeling more fatigued than usual and has noticed some early satiety during meals.,94ddc0ef
Staphylococcus scalded skin syndrome,"A 2-year-old child presents to the emergency department with a widespread skin rash that started 2 days ago, accompanied by peeling of the skin and irritability. The caregivers report that the child has been feverish and fussy. Please take a full history and perform a relevant examination.",18dd9193
submandibular abscess,A 35-year-old male presents to the clinic with a painful swelling in the left side of his neck that has progressively increased in size over the past 2 days. He reports difficulty swallowing and some fever. Please take a full history and perform a physical examination.,6b6c29f4
swallowing difficulties,A 56-year-old male presents to the clinic with complaints of difficulty swallowing that has worsened over the past month. He reports a sensation of food getting stuck in his throat and occasional choking episodes.,9924e1b5
systemic lupus erythematosus (SLE) examination,A 28-year-old female presents to the clinic with a rash on her face that has worsened over the past month. She also reports feeling more fatigued than usual.,91642faf
pharyngeal pain or throat examination,"A 12-year-old child presents to the clinic with a 3-day history of sore throat, difficulty swallowing, and fever. Perform a full history taking and physical examination focused on the throat.",22488ec5
Thyroid dysfunction or examination,"A 30-year-old female presents to the clinic with complaints of increased nervousness, weight loss, and heat intolerance over the past month.",368706f2
Evaluation of a patient with fatigue during pregnancy,A 28-year-old woman presents to the clinic with complaints of persistent tiredness for the past month. She is currently 20 weeks pregnant and states that her fatigue is affecting her daily activities.,f4321a7f
Acute abdomen following blunt trauma,A 25-year-old male presents to the emergency department with severe abdominal pain following a motorcycle accident 2 hours ago. He reports that the pain started suddenly and is located in the right upper quadrant. Please take a full history and perform a relevant physical examination.,a9d2c48d
tricuspid regurgitation examination,A 65-year-old man presents to the clinic with complaints of worsening fatigue and shortness of breath over the past month. He reports palpitations occurring intermittently and has noticed swelling in his ankles. Please take a full history and perform a relevant examination.,93064473
Upper limb examination in relation to diabetes mellitus,A 52-year-old male presents to the clinic with complaints of numbness and weakness in both hands that has gradually worsened over the past month.,dd0b7fc2
urinary tract infection (UTI),A 25-year-old female presents to the clinic with complaints of dysuria and increased frequency of urination for the past two days.,e9fc98cb
Urinary tract infection (UTI),A 28-year-old woman presents to the clinic with complaints of increased urinary frequency and burning sensation during urination for the past 5 days.,8d213706
vaginal discharge or related gynecological examination,A 28-year-old woman presents to the clinic with complaints of abnormal vaginal discharge for the past week. She describes the discharge as having a strong odor and a change in color. She denies any associated itching or irritation.,3f3aad26
venous ulcers,"A 62-year-old female presents to the clinic with complaints of a painful, non-healing sore on her right leg that has been present for the past 6 weeks.",924c9339
visual disturbances,A 45-year-old female presents to the clinic with complaints of visual disturbances that have been occurring intermittently for the past week.,f712d00f
vitamin K deficiency and its clinical manifestations,A 28-year-old woman presents to the clinic with complaints of easy bruising and prolonged bleeding after minor cuts over the past two weeks.,6afb4c05
"Assessing a patient with respiratory symptoms, particularly wheezing or stridor",A 4-year-old child presents to the clinic with complaints of wheezing and difficulty breathing that started suddenly this morning.,8fb8e464
Abdominal pain and possible underlying conditions,A 35-year-old male presents to the clinic with complaints of severe abdominal pain that started suddenly two hours ago. The pain is localized to the right upper quadrant and is associated with nausea. Please take a full history and perform a relevant physical examination.,d132562f
Chest pain or discomfort,A 54-year-old male presents to the clinic with complaints of chest discomfort for the past 3 days. He describes the pain as a pressure-like sensation that worsens with exertion but improves with rest.,78577751
Cardiovascular system; chest pain evaluation,"A 45-year-old male presents to the clinic with complaints of chest pain that started 3 hours ago. He describes the pain as a heavy pressure in the middle of his chest, radiating to his left arm. He rates the pain as 7 out of 10 and is accompanied by shortness of breath and sweating.",28000d63
chest pain or discomfort,"A 52-year-old male presents to the clinic with complaints of chest discomfort that started 3 days ago. He describes the discomfort as a pressure-like sensation, particularly worsening on exertion.",812a2830
cardiovascular examination and chest pain,A 55-year-old male presents to the clinic with complaints of chest discomfort that has been persistent over the last three days.,50f33e60
chest pain and cardiovascular examination,The patient presents to the clinic with complaints of chest pain that has been worsening over the last 48 hours.,41152fb0
"Evaluation of gastrointestinal symptoms, possibly related to the stomach or esophagus.",A 45-year-old male presents to the clinic with complaints of persistent heartburn and regurgitation of food for the past two weeks.,c4029571
Respiratory system examination regarding cough and wheezing,A 45-year-old male presents to the clinic with complaints of a persistent cough and wheezing for the past week.,636aaa00
chest discomfort or potential cardiovascular issues,A 54-year-old male presents to the clinic with complaints of chest discomfort that has been occurring intermittently over the past week. He describes the pain as a pressure-like sensation that sometimes radiates to his left arm. He reports it is worsened with exertion and relieved by rest.,75c2b714
Abdominal pain and gastrointestinal examination,"A 35-year-old female presents to the clinic with complaints of intermittent abdominal pain for the past week, associated with nausea and occasional diarrhea.",6070bc63
Chest pain and its differential diagnoses,"A 45-year-old male presents to the clinic with complaints of chest discomfort that has worsened over the past 3 days. He describes the pain as a pressure-like sensation, which occasionally radiates to his left arm.",d6a6fb7f
Approach to patient assessment emphasizing history and physical examination,A 45-year-old male presents to the clinic with complaints of persistent shortness of breath and a dry cough for the past week.,7e08ca28
Assessment of a young patient with a chronic condition,A 15-year-old male presents to the clinic with increased difficulty in breathing and wheezing over the past week. He has a history of asthma managed with a rescue inhaler. Please take a full history and conduct a relevant physical examination.,8e17a178
Pediatric patients and their common presenting complaints,A 7-year-old child presents to the clinic with complaints of persistent cough for the past week and difficulty breathing during physical activity.,0210c937
Gynaecological examination of pelvic pain,"A 28-year-old female presents to the clinic with complaints of persistent pelvic pain for the past week, which she describes as sharp and intermittent. She notes that the pain worsens during menstruation and is associated with some nausea.",0d89419b
Gynaecological examination of a patient with psychosocial aspects,Presents to the clinic with complaints of irregular menstrual cycles and increased anxiety over the past month.,f71ef4ba
Gynaecological examination and health concerns,A 28-year-old woman presents to the clinic with complaints of abnormal vaginal bleeding for the past 2 weeks.,cf3df96d
gynecological issues or women's health concerns,A 28-year-old female presents to the clinic with complaints of irregular menstrual cycles for the past 6 months.,5f12fa3d
Chest pain and its differential diagnosis,A 58-year-old male presents to the clinic with complaints of chest discomfort that has been ongoing for the past 3 days. He describes the pain as a pressure-like sensation that worsens with exertion and improves with rest.,be63c7e2
"Evaluation of general health status in elderly patients, focusing on history taking and physical examination.",A 78-year-old man presents to the clinic with complaints of increased fatigue and difficulty performing daily activities over the past month.,571ad236
"Elderly patient health assessment, focusing on polypharmacy and mental state",An 82-year-old woman presents to the clinic with increasing confusion and difficulty managing her medications over the past month.,88795f0b
Cardiovascular examination and history taking related to chest pain,"A 58-year-old man presents to the clinic with complaints of chest pain that has been occurring intermittently for the past week. He describes the pain as a squeezing sensation, often radiating to his left arm, and is associated with shortness of breath on exertion.",eaff5b6c
Intermittent claudication and peripheral vascular disease,"A 62-year-old male presents to the clinic with complaints of leg pain and cramping that occurs when walking, which resolves after resting for a few minutes.",7c483979
Signs and symptoms of varicose veins and physical examination techniques,"A 45-year-old woman presents to the clinic with complaints of swollen legs and visible bulging veins for the past month. She reports discomfort and heaviness in her legs, especially after prolonged standing.",303818a9
edema and skin changes in the lower legs,"A 56-year-old male presents to the clinic with complaints of swelling in both of his lower legs, which he has noticed over the last two weeks. He also mentions that his skin has become dry and has changed color. He is concerned about these changes and would like to understand the cause.",fccdac03
Signs of chronic liver disease or conditions causing palmar erythema,A 45-year-old patient presents to the clinic with complaints of reddening of the palms over the past month.,439cb1ae
Signs and symptoms of iron-deficiency anemia,A 32-year-old woman presents to the clinic with complaints of fatigue and brittle nails over the past month.,63f085ec
Neuromuscular disorders and their examination,A 45-year-old male presents to the clinic with complaints of progressive muscle weakness and sensory disturbances in his limbs over the past month.,de07f002
Shoulder joint examination and assessment of movement restrictions,A 52-year-old male presents to the clinic with complaints of right shoulder pain and limited range of motion over the past two weeks.,9659b66f
Shoulder pain and its assessment,A 35-year-old male presents to the clinic with complaints of right shoulder pain that has been progressively worsening over the past week.,5d9c5948
Shoulder pain or shoulder joint injuries,A 35-year-old male presents to the clinic with complaints of right shoulder pain that started after a fall while playing soccer. He reports difficulty lifting his arm and feels a popping sensation when moving it.,6bf6de83
Elbow joint dislocation or fracture,A 26-year-old male presents to the clinic with a swollen and painful right elbow after falling while playing basketball. He reports difficulty straightening the arm and a visible deformity around the elbow joint.,5959d1fb
Elbow joint injuries and examination techniques,A 32-year-old male presents to the clinic with complaints of pain and swelling around his right elbow following a fall while playing basketball two days ago.,029b770e
Wrist arthritis and its examination,"A 55-year-old woman presents to the clinic with complaints of persistent wrist pain and stiffness, especially in the morning, lasting for more than an hour.",0de53bf2
"Hand function and joint issues, possibly related to tendons or inflammation",A 45-year-old male presents to the clinic with complaints of swelling and pain in the back of his hand that has developed over the past week. He reports difficulty making a fist and extending his fingers fully. Please take a detailed history and perform a physical examination focused on the hand and wrist.,3cd9cdfa
Assessment of shoulder pain and wrist mobility issues,A 45-year-old patient presents to the clinic with complaints of shoulder pain that worsens with overhead activities. The pain has been persistent for the past two weeks and is associated with difficulty in lifting objects. Please take a full history and conduct a relevant physical examination.,026025da
Hip joint examination and potential hip lesions,A 35-year-old female presents to the clinic with complaints of right hip pain and limited range of motion for the past two weeks.,00d7d2bf
Hip joint pathology and examination techniques,A 65-year-old woman presents to the clinic with complaints of right hip pain that has progressively worsened over the past month. The pain is particularly severe when she tries to walk or climb stairs.,879b8342
Problems related to hip joint mobility and related conditions such as osteoarthritis or congenital hip dislocation,"A 45-year-old male presents to the clinic with complaints of hip pain and difficulty in moving his leg, particularly in rotating it, for the past month.",f56c8cc4
Hip joint examination for disorders affecting range of motion,A 45-year-old male presents to the clinic with complaints of right hip pain and limited movement for the past 2 weeks. He reports difficulty in walking and feels discomfort during activities such as climbing stairs.,08772d48
Hip joint examination and assessment of hip flexor contracture,A 28-year-old male presents to the clinic with complaints of right hip pain and difficulty in straightening his leg after a recent basketball game.,ed13e16d
